Type,ID,Name,Event
"EAN13","4976994150983","606816 哈根達斯榛果拿鐵雪酥",""
"EAN13","4976994151010","610663 哈根達斯覆盆子香草巴菲雪酥",""
"EAN13","4984824045965","185886 國際牌4號電池4入",""
"EAN13","4987036486717","369581 近江唇釉酷露露草莓風味(皇家紅)",""
"EAN13","4987036486724","369573 近江唇釉酷露露蜜桃風味(皇家粉)",""
"EAN13","4987036486731","369585 近江唇釉酷露露葡萄風味(酒紅",""
"EAN13","4987176179234","395170 好自在液體材質衛生棉27cm10片",""
"EAN13","6294001812135","279583 德芙輕巧脆心巧克力",""
"EAN13","6294001812265","279570 德芙絲滑牛奶巧克力",""
"EAN13","6294003532987","609962 雀巢奇巧威化巧克力",""
"EAN13","6294003582678","804676 雀巢奇巧酥脆威化巧克力",""
"EAN13","6925425474424","759947 加倍佳壁虎造型-酸甜軟糖",""
"EAN13","6942836720902","897410 好時巧酥可可風味金磚",""
"EAN13","7610046600503","595770 瑞士Kagi 黑巧克力威化餅乾 50g",""
"EAN13","7640163063318","568801 義大利ANYAH安尼亞植萃洗沐組",""
"EAN13","8000500359358","510146 能多益餅乾",""
"EAN13","8059591191767","531547 義大利 Florinda 寵愛芍藥香氛皂",""
"EAN13","8059591193624","531415 義大利 Florinda 薰衣草舒眠香氛皂",""
"EAN13","8410644140208","554914 西班牙Cofama氣泡酒",""
"EAN13","8410644140222","555126 西班牙Cofama粉紅氣泡酒",""
"EAN13","8801043054768","806348 農心辛辣白菜風味拉麵袋",""
"EAN13","8801043061674","945050 農心辛炒麵",""
"EAN13","8801043150606","387500 農心辛拉麵（包）",""
"EAN13","8801045033181","563186 韓國不倒翁頂級金炸醬拉麵",""
"EAN13","8801045725512","539380 不倒翁蔥燒牛肉風味碗麵6入組",""
"EAN13","8801382124849","353881 韓國熊津大麥飲",""
"EAN13","8801382150329","537132 韓國熊津玉米鬚茶",""
"EAN13","8801382150763","633850 韓國熊津青梅飲",""
"EAN13","8801382702740","668715 韓國熊津米漿年糕冰",""
"EAN13","8801382702757","668721 韓國熊津青梅脆脆冰",""
"EAN13","8801382703181","862284 韓國Sweetory青梅軟糖",""
"EAN13","8801382703266","862480 韓國熊津黑芝麻年糕冰淇淋","20260814_五六日_011"
"EAN13","8801382703495","838260 韓國熊津紅蔘飲",""
"EAN13","8801382703778","315995 韓國熊津不添加糖紅蔘飲",""
"EAN13","8801725002032","358742 韓國SJ史努比香蕉可可威化酥",""
"EAN13","8802534052508","622787 韓國Sweetory 杏仁可可球",""
